"name","long","lat","year","date"
"Danaus plexippus","-82.548517","27.341745","2017","2017-01-30"
"Danaus plexippus","-117.852592","34.133467","2017","2017-01-09"
"Danaus plexippus","-117.852536","34.133389","2017","2017-01-03"
"Danaus plexippus","-97.17492","26.14002","2017","2017-01-12"
"Danaus plexippus","-118.42388","34.017022","2017","2017-01-17"
"Danaus plexippus","-97.175046","26.139942","2017","2017-01-24"
"Danaus plexippus","-122.0599","36.982721","2017","2017-01-28"
"Danaus plexippus","-117.852475","34.133355","2017","2017-01-09"
"Danaus plexippus","-95.572804","29.970274","2017","2017-01-31"
"Danaus plexippus","-95.419722","29.0425","2017","2017-01-02"
"Danaus plexippus","-117.852499","34.133386","2017","2017-01-08"
"Danaus plexippus","-95.748467","29.737477","2017","2017-01-11"
"Danaus plexippus","-117.852497","34.13336","2017","2017-01-24"
"Danaus plexippus","-117.071305","32.776475","2017","2017-01-30"
"Danaus plexippus","-119.899678","34.423903","2017","2017-01-10"
"Danaus plexippus","-95.748521","29.7373","2017","2017-01-25"
"Danaus plexippus","-117.852484","34.133393","2017","2017-01-17"
"Danaus plexippus","-111.167744","32.243432","2017","2017-01-02"
"Danaus plexippus","-95.453399","29.834645","2017","2017-01-20"
"Danaus plexippus","-117.852476","34.133372","2017","2017-01-03"
"Danaus plexippus","-82.56962","29.042145","2017","2017-01-14"
"Danaus plexippus","-157.818582","21.300238","2017","2017-01-18"
"Danaus plexippus","-117.852523","34.133463","2017","2017-01-09"
"Danaus plexippus","-122.192688","37.41906","2017","2017-01-06"
"Danaus plexippus","-117.852522","34.133372","2017","2017-01-17"
"Danaus plexippus","-118.343418","33.825328","2017","2017-01-06"
"Danaus plexippus","-117.852477","34.133485","2017","2017-01-08"
"Danaus plexippus","-122.064344","37.972088","2017","2017-01-09"
"Danaus plexippus","-118.286735","33.884072","2017","2017-01-27"
"Danaus plexippus","-117.852435","34.133348","2017","2017-01-24"
"Danaus plexippus","-117.852497","34.133372","2017","2017-01-24"
"Danaus plexippus","-122.060872","36.991386","2017","2017-01-31"
"Danaus plexippus","-97.174963","26.139993","2017","2017-01-12"
"Danaus plexippus","-117.852555","34.133491","2017","2017-01-27"
"Danaus plexippus","-118.327493","34.057423","2017","2017-01-10"
"Danaus plexippus","-98.482506","29.453699","2017","2017-01-01"
"Danaus plexippus","-118.001699","33.667886","2017","2017-01-28"
"Danaus plexippus","-118.290278","33.883889","2017","2017-01-30"
"Danaus plexippus","-111.167473","32.243245","2017","2017-01-10"
"Danaus plexippus","-97.173858","26.137292","2017","2017-01-12"
"Danaus plexippus","-117.852495","34.13338","2017","2017-01-17"
"Danaus plexippus","-118.241693","34.03807","2017","2017-01-28"
"Danaus plexippus","-95.404753","29.904594","2017","2017-01-03"
"Danaus plexippus","-97.17422","26.13729","2017","2017-01-04"
"Danaus plexippus","-119.900249","34.42423","2017","2017-01-30"
"Danaus plexippus","-118.533309","33.469143","2017","2017-01-31"
"Danaus plexippus","-80.32097","25.72608","2017","2017-01-28"
"Danaus plexippus","-117.852529","34.133436","2017","2017-01-09"
"Danaus plexippus","-80.37794","25.754406","2017","2017-01-27"
"Danaus plexippus","-96.843049","28.496863","2017","2017-01-12"
"Danaus plexippus","-122.19493","37.70563","2017","2017-01-04"
"Danaus plexippus","-118.418563","34.173333","2017","2017-01-06"
"Danaus plexippus","-95.404792","29.716495","2017","2017-01-26"
"Danaus plexippus","-122.058174","37.580825","2017","2017-01-06"
"Danaus plexippus","-118.095088","33.837192","2017","2017-01-03"
"Danaus plexippus","-122.027192","36.954063","2017","2017-01-29"
"Danaus plexippus","-118.418515","34.008024","2017","2017-01-29"
"Danaus plexippus","-118.260142","34.194067","2017","2017-01-14"
"Danaus plexippus","-118.288392","34.017838","2017","2017-01-28"
"Danaus plexippus","-118.286842","33.884198","2017","2017-01-14"
"Danaus plexippus","-120.632114","35.126847","2017","2017-01-05"
"Danaus plexippus","-118.288445","34.017942","2017","2017-01-06"
"Danaus plexippus","-119.899159","34.424282","2017","2017-01-01"
"Danaus plexippus","-118.286963","33.884215","2017","2017-01-14"
"Danaus plexippus","-117.852565","34.133497","2017","2017-01-24"
"Danaus plexippus","-122.060947","36.95709","2017","2017-01-06"
"Danaus plexippus","-118.288303","34.017754","2017","2017-01-28"
"Danaus plexippus","-122.0599","36.982721","2017","2017-01-28"
"Danaus plexippus","-118.396892","34.198197","2017","2017-01-08"
"Danaus plexippus","-115.936753","33.518418","2017","2017-01-17"
"Danaus plexippus","-117.852578","34.133439","2017","2017-01-16"
"Danaus plexippus","-80.436573","25.492094","2017","2017-01-16"
"Danaus plexippus","-120.855483","35.36143","2017","2017-01-16"
"Danaus plexippus","-117.852467","34.133454","2017","2017-01-27"
"Danaus plexippus","-117.852591","34.133437","2017","2017-01-03"
"Danaus plexippus","-117.85256","34.133467","2017","2017-01-03"
"Danaus plexippus","-97.174198","26.137358","2017","2017-01-04"
"Danaus plexippus","-117.852507","34.133396","2017","2017-01-17"
"Danaus plexippus","-157.818601","21.300119","2017","2017-01-18"
"Danaus plexippus","-97.174172","26.137397","2017","2017-01-10"
"Danaus plexippus","-119.822163","34.424858","2017","2017-01-02"
"Danaus plexippus","-97.174941","26.140057","2017","2017-01-29"
"Danaus plexippus","-118.402914","34.020287","2017","2017-01-23"
"Danaus plexippus","-117.85265","34.133464","2017","2017-02-20"
"Danaus plexippus","-118.139155","34.18786","2017","2017-02-02"
"Danaus plexippus","-117.086471","32.554146","2017","2017-02-16"
"Danaus plexippus","-80.37825","25.754738","2017","2017-02-21"
"Danaus plexippus","-157.818665","21.300192","2017","2017-02-17"
"Danaus plexippus","-122.010381","36.970311","2017","2017-02-11"
"Danaus plexippus","-118.063152","33.798741","2017","2017-02-08"
"Danaus plexippus","-157.818665","21.300192","2017","2017-02-17"
"Danaus plexippus","-80.283777","25.661526","2017","2017-02-12"
"Danaus plexippus","-118.287647","34.017654","2017","2017-02-12"
"Danaus plexippus","-117.852457","34.133471","2017","2017-02-04"
"Danaus plexippus","-157.818665","21.300192","2017","2017-02-17"
"Danaus plexippus","-117.852515","34.133446","2017","2017-02-04"
"Danaus plexippus","-116.373198","33.702389","2017","2017-02-04"
"Danaus plexippus","-122.0599","36.982721","2017","2017-02-10"
"Danaus plexippus","-122.049602","37.558398","2017","2017-02-05"
"Danaus plexippus","-117.852627","34.133436","2017","2017-02-22"
"Danaus plexippus","-157.818649","21.300241","2017","2017-02-19"
"Danaus plexippus","-122.027572","36.956305","2017","2017-02-13"
