"name","long","lat","year","date"
"Asclepias curassavica","-82.441292","29.603513","2017","2017-01-26"
"Asclepias syriaca","-76.503811","39.573278","2017","2017-01-01"
"Asclepias fascicularis","-118.615005","34.272852","2017","2017-01-05"
"Asclepias curassavica","-80.160042","25.673694","2017","2017-01-16"
"Asclepias syriaca","-74.30058","40.68552","2017","2017-01-19"
"Asclepias curassavica","-122.353021","37.963499","2017","2017-01-06"
"Asclepias syriaca","-88.108023","41.716131","2017","2017-01-13"
"Asclepias syriaca","-76.796621","42.910622","2017","2017-01-15"
"Asclepias syriaca","-83.929457","42.560091","2017","2017-01-24"
"Asclepias incarnata","-87.904357","41.837732","2017","2017-01-29"
"Asclepias syriaca","-74.502926","40.654206","2017","2017-01-29"
"Asclepias curassavica","-97.328782","27.669162","2017","2017-02-20"
"Asclepias syriaca","-95.881452","45.578383","2017","2017-02-19"
"Asclepias syriaca","-74.573865","40.626038","2017","2017-02-04"
"Asclepias syriaca","-87.698633","41.865077","2017","2017-02-03"
"Asclepias curassavica","-80.43641","25.467244","2017","2017-02-25"
"Asclepias syriaca","-88.988423","43.041439","2017","2017-02-26"
"Asclepias incarnata","-81.890024","40.628585","2017","2017-02-17"
"Asclepias syriaca","-72.43014","44.367557","2017","2017-02-28"
"Asclepias syriaca","-74.508097","40.633073","2017","2017-02-19"
"Asclepias curassavica","-80.43641","25.466924","2017","2017-02-21"
"Asclepias asperula","-97.876446","30.199106","2017","2017-02-25"
"Asclepias curassavica","-95.717153","29.111914","2017","2017-02-15"
"Asclepias syriaca","-87.78245","42.00064","2017","2017-02-05"
"Asclepias incarnata","-74.236915","40.655085","2017","2017-02-23"
"Asclepias syriaca","-74.57644","40.624376","2017","2017-02-08"
"Asclepias curassavica","-80.278087","25.681835","2017","2017-03-04"
"Asclepias asperula","-98.262513","29.875218","2017","2017-03-23"
"Asclepias asperula","-97.7739","30.687286","2017","2017-03-31"
"Asclepias asperula","-97.492162","30.997456","2017","2017-03-16"
"Asclepias incarnata","-74.576783","40.624604","2017","2017-03-19"
"Asclepias verticillata","-94.492355","29.70372","2017","2017-03-19"
"Asclepias syriaca","-74.576783","40.624604","2017","2017-03-19"
"Asclepias asperula","-98.078736","30.069783","2017","2017-03-27"
"Asclepias viridis","-95.741943","30.692778","2017","2017-03-16"
"Asclepias viridis","-95.143098","29.534641","2017","2017-03-14"
"Asclepias asperula","-97.88095","28.795983","2017","2017-03-28"
"Asclepias asperula","-98.078736","30.069783","2017","2017-03-26"
"Asclepias viridis","-97.005814","30.134056","2017","2017-03-17"
"Asclepias asperula","-98.078736","30.069783","2017","2017-03-27"
"Asclepias syriaca","-87.853873","41.713994","2017","2017-03-22"
"Asclepias viridis","-94.492012","29.670728","2017","2017-03-19"
"Asclepias syriaca","-74.316931","40.671688","2017","2017-03-02"
"Asclepias asperula","-97.811388","30.158353","2017","2017-03-25"
"Asclepias fascicularis","-118.611072","34.274859","2017","2017-03-11"
"Asclepias asperula","-98.174227","29.641697","2017","2017-03-20"
"Asclepias asperula","-97.279207","32.884809","2017","2017-03-29"
"Asclepias asperula","-98.078736","30.069783","2017","2017-03-26"
"Asclepias asperula","-98.078736","30.069783","2017","2017-03-27"
"Asclepias incarnata","-74.676819","40.599519","2017","2017-03-05"
"Asclepias asperula","-98.178689","30.157558","2017","2017-03-21"
"Asclepias asperula","-98.262513","29.875218","2017","2017-03-24"
"Asclepias syriaca","-92.969652","43.672429","2017","2017-03-18"
"Asclepias asperula","-97.464363","30.156361","2017","2017-03-26"
"Asclepias asperula","-98.078736","30.069783","2017","2017-03-27"
"Asclepias asperula","-98.078736","30.069783","2017","2017-03-27"
"Asclepias syriaca","-74.094462","40.564152","2017","2017-03-26"
"Asclepias asperula","-97.464317","30.15635","2017","2017-03-26"
"Asclepias asperula","-98.173757","29.643105","2017","2017-03-20"
"Asclepias viridis","-96.493172","29.610939","2017","2017-03-22"
"Asclepias asperula","-98.156721","29.697093","2017","2017-03-11"
"Asclepias syriaca","-72.47012","44.335995","2017","2017-03-04"
"Asclepias asperula","-98.078736","30.069783","2017","2017-03-26"
"Asclepias curassavica","-80.120651","26.034463","2017","2017-03-20"
"Asclepias tuberosa","-97.892578","30.339774","2017","2017-03-31"
"Asclepias syriaca","-84.051102","42.492339","2017","2017-03-05"
"Asclepias viridis","-94.492692","29.703717","2017","2017-03-19"
"Asclepias viridis","-95.981209","29.34856","2017","2017-03-13"
"Asclepias fascicularis","-117.627475","33.595128","2017","2017-03-23"
"Asclepias asperula","-98.064104","30.611724","2017","2017-03-25"
"Asclepias asperula","-98.078736","30.069783","2017","2017-03-26"
"Asclepias curassavica","-80.120609","26.034422","2017","2017-03-20"
"Asclepias viridis","-95.42806","29.693575","2017","2017-03-16"
"Asclepias asperula","-97.652326","30.385991","2017","2017-03-27"
"Asclepias asperula","-97.505165","30.135459","2017","2017-03-22"
"Asclepias asperula","-98.079361","30.069608","2017","2017-03-26"
"Asclepias asperula","-98.639062","29.862895","2017","2017-03-24"
"Asclepias viridis","-96.418739","29.4938","2017","2017-03-22"
"Asclepias viridis","-95.733325","29.424596","2017","2017-03-25"
"Asclepias asperula","-97.4643","30.1564","2017","2017-03-26"
"Asclepias asperula","-98.078736","30.069783","2017","2017-03-27"
"Asclepias asperula","-98.078736","30.069783","2017","2017-03-27"
"Asclepias viridis","-96.260115","30.021866","2017","2017-03-12"
"Asclepias syriaca","-94.36108","45.47309","2017","2017-03-30"
"Asclepias asperula","-97.18663","33.042668","2017","2017-03-26"
"Asclepias asperula","-97.882653","30.28955","2017","2017-03-24"
"Asclepias asperula","-98.84736","31.399882","2017","2017-03-23"
"Asclepias verticillata","-95.459291","29.6544","2017","2017-03-19"
"Asclepias fascicularis","-118.285582","33.885323","2017","2017-03-05"
"Asclepias viridis","-96.019294","28.912628","2017","2017-03-22"
"Asclepias viridis","-96.31756","30.124518","2017","2017-03-12"
"Asclepias asperula","-97.575198","30.737181","2017","2017-03-28"
"Asclepias asperula","-97.923356","28.754656","2017","2017-03-28"
"Asclepias asperula","-97.893779","30.338589","2017","2017-03-31"
"Asclepias incarnata","-81.711388","39.834793","2017","2017-03-16"
